Atom,BasisSet,LightSpeed,Energy
Ne,pc-2,1096.287912,-93.213619017061
Ne,pc-2,2192.575824,-93.210771389574
Ne,pc-2,4385.151648,-93.210059438457
Ar,pc-3,34.25899725,-347.2294356316
Ar,pc-3,68.5179945,-321.590408988307
Ar,pc-3,137.035989,-314.140647860874
Ar,pc-3,274.071978,-312.189835296947
Ar,pc-3,548.143956,-311.695800740341
Ar,pc-3,1096.287912,-311.571875371638
Ar,pc-3,2192.575824,-311.540867558127
Ar,pc-3,4385.151648,-311.53311394294
He,pc-3,34.25899725,-2.839262805675
He,pc-3,68.5179945,-2.835922646297
He,pc-3,137.035989,-2.83508855666
He,pc-3,274.071978,-2.83488009294
He,pc-3,548.143956,-2.834827980667
He,pc-3,1096.287912,-2.834814952827
He,pc-3,2192.575824,-2.834811695881
He,pc-3,4385.151648,-2.834810881646
Kr,pc-3,34.25899725,-1702.98983217915
Kr,pc-3,68.5179945,-1418.602965928424
Kr,pc-3,137.035989,-1312.1515154284
Kr,pc-3,274.071978,-1281.447483675282
Kr,pc-3,548.143956,-1273.423146039998
Kr,pc-3,1096.287912,-1271.391980949157
Kr,pc-3,2192.575824,-1270.882534139673
Kr,pc-3,4385.151648,-1270.755067144599
Ne,pc-3,34.25899725,-97.206189579369
Ne,pc-3,68.5179945,-94.194636539603
Ne,pc-3,137.035989,-93.457227519334
Ne,pc-3,274.071978,-93.273697410529
Ne,pc-3,548.143956,-93.227860796267
Ne,pc-3,1096.287912,-93.216404386097
Ne,pc-3,2192.575824,-93.213540452744
Ne,pc-3,4385.151648,-93.212824479943
Ar,pc-4,34.25899725,-347.755103192364
Ar,pc-4,68.5179945,-321.638749976713
Ar,pc-4,137.035989,-314.143883179045
Ar,pc-4,274.071978,-312.190118390596
Ar,pc-4,548.143956,-311.695960866509
Ar,pc-4,1096.287912,-311.572044274314
Ar,pc-4,2192.575824,-311.541041106821
Ar,pc-4,4385.151648,-311.533288805553
He,pc-4,34.25899725,-2.839285031326
He,pc-4,68.5179945,-2.835943180275
He,pc-4,137.035989,-2.835109031655
He,pc-4,274.071978,-2.834900575827
He,pc-4,548.143956,-2.834848466938
He,pc-4,1096.287912,-2.834835440033
He,pc-4,2192.575824,-2.834832183326
He,pc-4,4385.151648,-2.834831369151
Kr,pc-4,34.25899725,-1767.89828320535
Kr,pc-4,68.5179945,-1429.055248881242
Kr,pc-4,137.035989,-1313.103199729131
Kr,pc-4,274.071978,-1281.523257427582
Kr,pc-4,548.143956,-1273.430950109433
Kr,pc-4,1096.287912,-1271.393652555789
Kr,pc-4,2192.575824,-1270.883374656007
Kr,pc-4,4385.151648,-1270.755743987311
Ne,pc-4,34.25899725,-97.253672510877
Ne,pc-4,68.5179945,-94.197067371842
Ne,pc-4,137.035989,-93.457392698783
Ne,pc-4,274.071978,-93.273832901989
Ne,pc-4,548.143956,-93.228021764987
Ne,pc-4,1096.287912,-93.2165737488
Ne,pc-4,2192.575824,-93.213712039635
Ne,pc-4,4385.151648,-93.212996630721
Ar,zora-def2-qzvpp,34.25899725,-361.874155176536
Ar,zora-def2-qzvpp,68.5179945,-322.627603964583
Ar,zora-def2-qzvpp,137.035989,-314.227700125081
Ar,zora-def2-qzvpp,274.071978,-312.199781537664
Ar,zora-def2-qzvpp,548.143956,-311.696783969765
Ar,zora-def2-qzvpp,1096.287912,-311.571264774339
Ar,zora-def2-qzvpp,2192.575824,-311.539898898321
Ar,zora-def2-qzvpp,4385.151648,-311.532058290783
He,zora-def2-qzvpp,34.25899725,-2.839171715911
He,zora-def2-qzvpp,68.5179945,-2.835836681604
He,zora-def2-qzvpp,137.035989,-2.835003554134
He,zora-def2-qzvpp,274.071978,-2.83479531109
He,zora-def2-qzvpp,548.143956,-2.834743252745
He,zora-def2-qzvpp,1096.287912,-2.83473023831
He,zora-def2-qzvpp,2192.575824,-2.834726984711
He,zora-def2-qzvpp,4385.151648,-2.834726171311
Kr,zora-def2-qzvpp,34.25899725,-2941.870464757907
Kr,zora-def2-qzvpp,68.5179945,-1480.522314736846
Kr,zora-def2-qzvpp,137.035989,-1316.374076341339
Kr,zora-def2-qzvpp,274.071978,-1281.655714581649
Kr,zora-def2-qzvpp,548.143956,-1273.276655395028
Kr,zora-def2-qzvpp,1096.287912,-1271.195904797908
Kr,zora-def2-qzvpp,2192.575824,-1270.676343634719
Kr,zora-def2-qzvpp,4385.151648,-1270.546484785473
Ne,zora-def2-qzvpp,34.25899725,-97.299636474069
Ne,zora-def2-qzvpp,68.5179945,-94.200602140701
Ne,zora-def2-qzvpp,137.035989,-93.457564659912
Ne,zora-def2-qzvpp,274.071978,-93.27359219139
